acquisition_id,user_id,channel,campaign_name,utm_source,utm_medium,acquisition_date,acquisition_cost
70001,1001,Paid Social,Q1_Retarget,instagram,cpc,2024-06-07,31.32
70002,1002,Paid Social,Q2_Conversion,instagram,cpc,2024-06-26,43.29
70003,1003,Direct,,,,2024-06-22,0.95
70004,1004,Paid Social,Q3_Retention_Push,instagram,cpc,2024-06-02,47.69
70005,1005,Direct,,,,2024-06-21,
70006,1006,Paid Social,Q2_Scale,facebook,cpc,2024-02-19,56.61
70007,1007,Paid Social,Q3_Retention_Push,instagram,cpc,2024-02-05,50.4
70008,1008,Paid Social,Q1_Awareness,instagram,cpc,2024-05-18,51.08
70009,1009,Paid Social,Q2_Scale,instagram,cpc,2024-06-17,47.27
70010,1010,paid social,Q1_Retarget,facebook,cpc,2024-02-21,38.84
70011,1011,Referral,,,,2024-03-25,5.23
70012,1012,Paid Social,Q2_Scale,instagram,cpc,2024-01-11,57.63
70013,1013,Paid Social,Q2_Scale,instagram,cpc,2024-03-25,42.04
70014,1014,Paid Social,Q2_Scale,instagram,cpc,2024-01-08,36.45
70015,1015,Direct,,,,2024-01-08,1.34
70016,1016,Direct,,,,2024-01-06,
70017,1017,Paid Social,Q2_Scale,instagram,cpc,2024-02-23,63.62
70018,1018,Organic Search,,,,2024-01-17,
70019,1019,paid social,Q3_Retention_Push,instagram,cpc,2024-04-19,35.49
70020,1020,Direct,,,,2024-01-14,1.96
70021,1021,Organic Search,,google,organic,2024-01-21,
70022,1022,Direct,,,,2024-04-28,1.99
70023,1023,Paid Social,Q2_Conversion,instagram,cpc,2024-04-12,64.59
70024,1024,Organic Search,,,,2024-04-11,
70025,1025,Direct,,,,2024-02-04,
70026,1026,Paid Social,Q1_Awareness,instagram,cpc,2024-04-29,40.28
70027,1027,Direct,,,,2024-06-14,1.39
70028,1028,Organic Search,,google,organic,2024-02-28,
70029,1029,Paid Social,Q1_Awareness,facebook,cpc,2024-06-23,35.96
70030,1030,Paid Social,Q3_Retention_Push,facebook,cpc,2024-03-17,39.58
70031,1031,Paid Social,Q3_Retention_Push,instagram,cpc,2024-05-11,59.52
70032,1032,Direct,,,,2024-05-12,
70033,1033,Organic Search,,google,organic,2024-02-18,
70034,1034,Paid Social,Q3_Retention_Push,facebook,cpc,2024-05-27,60.39
70035,1035,Referral,,referral,referral,2024-04-17,7.4
70036,1036,Referral,,referral,referral,2024-01-09,8.07
70037,1037,Paid Social,Q1_Awareness,instagram,cpc,2024-02-22,35.17
70038,1038,Paid Social,Q1_Awareness,instagram,cpc,2024-03-18,37.71
70039,1039,Paid Social,Q1_Awareness,facebook,cpc,2024-04-08,58.32
70040,1040,Paid Social,Q2_Scale,facebook,cpc,2024-04-15,53.61
