user_id,sign_up_date,country,age_group,gender,plan_type
1001,2024-06-07,Nigeria,35-44,Male,Monthly
1002,2024-06-26,Nigeria,25-34,Male,Monthly
1003,2024-06-22,Canada,18-24,Female,Monthly
1004,2024-06-02,Nigeria,25-34,Female,Monthly
1005,2024-06-21,Nigeria,25-34,Male,Monthly
1006,2024-02-19,United Kingdom,25-34,Male,Monthly
1007,2024-02-05,United Kingdom,18-24,Female,Monthly
1008,2024-05-18,Canada,25-34,Female,Monthly
1009,2024-06-17,Nigeria,25-34,Male,Monthly
1010,2024-02-21,Nigeria,25-34,Female,Monthly
1011,2024-03-25,Nigeria,25-34,Female,Monthly
1012,2024-01-11,Nigeria,25-34,Male,Monthly
1013,2024-03-25,Nigeria,25-34,Male,
1014,2024-01-08,United Kingdom,18-24,Male,Monthly
1015,2024-01-08,Nigeria,18-24,Female,Monthly
1016,2024-01-06,Canada,18-24,Male,Monthly
1017,2024-02-23,Nigeria,25-34,Male,Monthly
1018,2024-01-17,United Kingdom,45+,Female,Monthly
1019,2024-04-19,NG,25-34,Female,Monthly
1020,2024-01-14,Nigeria,25-34,Male,Monthly
1021,2024-01-21,Canada,25-34,Female,Monthly
1022,2024-04-28,United Kingdom,25-34,Female,Monthly
1023,2024-04-12,United Kingdom,25-34,Female,Monthly
1024,2024-04-11,United Kingdom,45+,Female,Monthly
1025,2024-02-04,United Kingdom,25-34,Female,Monthly
1026,2024-04-29,United Kingdom,25-34,Female,
1027,2024-06-14,Nigeria,25-34,Female,Monthly
1028,2024-02-28,NG,35-44,Male,Monthly
1029,2024-06-23,Canada,25-34,Female,Monthly
1030,2024-03-17,Nigeria,18-24,Female,Monthly
1031,2024-05-11,United Kingdom,25-34,Male,Monthly
1032,2024-05-12,Nigeria,25-34,Male,Monthly
1033,2024-02-18,United Kingdom,25-34,Male,Monthly
1034,2024-05-27,Nigeria,25-34,Male,Monthly
1035,2024-04-17,Nigeria,25-34,Female,Monthly
1036,2024-01-09,Nigeria,25-34,Male,Monthly
1037,2024-02-22,Nigeria,45+,Female,Monthly
1038,2024-03-18,Nigeria,35-44,FEMALE,
1039,2024-04-08,Canada,18-24,Male,Monthly
1040,2024-04-15,Nigeria,18-24,Male,Monthly
1041,2024-02-22,Nigeria,45+,Female,Monthly
1042,2024-05-08,United Kingdom,25-34,Female,Monthly
1043,2024-03-04,United Kingdom,35-44,Female,Monthly
1044,2024-04-26,United Kingdom,25-34,Male,Monthly
1045,2024-02-15,Nigeria,25-34,Male,Monthly
1046,2024-01-12,Canada,25-34,Male,Monthly
1047,2024-02-25,Canada,35-44,Male,Monthly
1048,2024-03-24,United Kingdom,25-34,male,Monthly
1049,2024-04-12,NG,25-34,Female,Monthly
1050,2024-01-18,Canada,25-34,Female,Monthly
1051,2024-02-13,Canada,35-44,Female,Monthly
1052,2024-01-03,Nigeria,18-24,Male,
1053,2024-01-13,Nigeria,25-34,Male,Monthly
1054,2024-04-23,United Kingdom,35/44,Female,Monthly
1055,2024-02-21,United Kingdom,45+,Female,Monthly
1056,2024-01-25,Nigeria,25-34,Male,Monthly
1057,2024-03-23,Nigeria,35-44,Male,Monthly
1058,2024-01-28,Canada,25-34,Male,Monthly
1059,2024-06-17,United Kingdom,25-34,Female,Monthly
1060,2024-05-07,United Kingdom,35-44,Female,Monthly
1061,2024-01-25,United Kingdom,25-34,Male,Monthly
1062,2024-06-11,Nigeria,25-34,Male,Monthly
1063,2024-05-29,United Kingdom,35-44,Male,Monthly
1064,2024-06-06,Nigeria,25-34,Male,Monthly
1065,2024-04-05,Canada,18-24,Male,Monthly
1066,2024-03-25,United Kingdom,35-44,FEMALE,Monthly
1067,2024-02-28,Nigeria,35-44,Female,Monthly
1068,2024-06-27,Nigeria,35-44,Male,Monthly
1069,2024-05-05,Nigeria,18-24,Male,Monthly
1070,2024-05-20,Nigeria,18-24,Male,Monthly
1071,2024-02-20,United Kingdom,18-24,Female,Monthly
1072,2024-05-03,Canada,25-34,Male,Monthly
1073,2024-05-03,Canada,35 to 44,Female,Monthly
1074,2024-02-09,United Kingdom,25-34,Female,Monthly
1075,2024-02-04,Nigeria,18-24,FEMALE,Monthly
1076,2024-04-05,Nigeria,45+,Female,Monthly
1077,2024-05-24,Nigeria,25-34,Male,Monthly
1078,2024-05-05,Nigeria,25-34,Female,Monthly
1079,2024-01-09,United Kingdom,25-34,male,Monthly
1080,2024-02-07,United Kingdom,45+,Female,
